	akt	erk12	gsk3	jnk	p38	p70s61	p90rsk	stat3	creb	hsp27	mek12
nostim_noinh	7100	189	950	209	161	4522	263	31	613	7798	1868
tgfa_noinh	19575	2753	3484	493	633	17209	1369	35	1209	23412	24543
nostim_mek12	5942	39	517	165	133	4149	86	31	604	6253	18005
tgfa_mek12	20756	725	2622	323	402	14347	656	46	1114	15845	25214
nostim_p38	6296	136	541	147	76	3616	217	46	588	1785	1921
tgfa_p38	14705	3846	3235	508	258	16077	2205	30	1293	2746	23612
nostim_pi3k	4011	107	549	216	119	2166	222	35	596	7190	1937
tgfa_pi3k	5053	4406	3525	386	353	11129	1688	38	1515	20845	23076
nostim_mtorrap	6402	160	957	185	101	1612	184	29	575	5302	2049
tgfa_mtorrap	14491	3339	2886	430	285	9534	1374	24	1269	19842	23728
nostim_gsk3	5485	193	720	172	126	3616	218	47	662	6306	1954
tgfa_gsk3	10984	3228	2893	395	299	11616	1341	26	1336	18933	23748
nostim_jnk	4720	58	340	220	189	255	129	22	671	10036	1008
tgfa_jnk	6983	4037	1738	122	326	8021	799	12	1002	15391	22613	
